"species","lake","psd","mw_wr_wre","mw_wr_wrm_rq","mw_wre_wrm_rq"
"SMB","Clear","SS",0.595580816822517,0.000188223637476761,0.0000471754160112194
"SMB","Clear","S-Q",0.359057061748915,0.000011291924282935,0.000000179971008220217
"SMB","Clear","Q-P",0.467161468741226,0.00194911583893961,0.000241259903537477
"SMB","Clear","P-M",0.568918046431597,0.0545761885765003,0.018058862105548
"SMB","Clear","M-T",0.57572744057142,0.150132066269668,0.103325340993643
"SMB","Enemy.Swim","SS",0.459548339922967,0.00000124894339148033,0.000000126605191851816
"SMB","Enemy.Swim","S-Q",0.372218213487324,0.0000999838811810065,0.00000358586403711305
"SMB","Enemy.Swim","Q-P",0.398003343761647,0.00524191026833654,0.00122192441830436
"SMB","Enemy.Swim","P-M",0.676833432097723,0.0761408929781308,0.0533458831365704
"SMB","Enemy.Swim","M-T",0.685714285714286,0.685714285714286,0.685714285714286
"SMB","Pickerel","SS",0.555959328529719,0.000000469094824425447,0.0000000570918285644211
"SMB","Pickerel","S-Q",0.521427963742781,0.0000566637868379245,0.00000589184103204481
"SMB","Pickerel","Q-P",0.333729343815205,0.000304994252572049,0.0000166895045817517
"SMB","Pickerel","P-M",0.336922144651952,0.0097286589525992,0.000575019038824701
"SMB","Pickerel","M-T",0.62004662004662,0.455710955710956,0.455710955710956
"SMB","Roy","SS",0.565592363716429,0.0000577344239903288,0.00000941404512587831
"SMB","Roy","S-Q",0.369091984393312,0.0000107453354513325,0.000000435738964330963
"SMB","Roy","Q-P",0.34104622986858,0.0155372384623248,0.00129702831212773
"SMB","Roy","P-M",0.658381873013691,0.149706094801204,0.0986874469335277
"SMB","Roy","M-T",0.399218331932295,0.0291944473195599,0.00368134843270434
"WAE","Bitter","SS",0.24256444561775,0.0000000000000000000915470406770062,0.0000000000000000000130938925212657
"WAE","Bitter","S-Q",0.544312955421522,0.000000023958575878595,0.00000000186161474891731
"WAE","Bitter","Q-P",0.458642822896064,0.000000000940923532661227,0.0000000000202142765107673
"WAE","Bitter","P-M",0.747658172580773,0.242648476394606,0.216945077626192
"WAE","Harlan.res","SS",0.69047619047619,0.69047619047619,0.69047619047619
"WAE","Harlan.res","S-Q",0.537234342342432,0.00803313984720267,0.00218177861220904
"WAE","Harlan.res","Q-P",0.542303277950757,0.0010114235135196,0.000178129305455463
"WAE","Harlan.res","P-M",0.747696812329321,0.0211868902150232,0.0211868902150232
"WAE","Harlan.res","M-T",0.730440148087207,0.340106951871658,0.340106951871658
"WAE","Kansas","S-Q",0.570354713470418,0.0392474877277908,0.0122337546359477
"WAE","Kansas","Q-P",0.609134686650223,0.0000127682269079988,0.00000102226291844426
"WAE","Kansas","P-M",0.633578110028237,0.169867984771882,0.0844748142414069
"WAE","Kansas","M-T",0.579703361171831,0.251576691313902,0.110795547037189
"WAE","MO.river","S-Q",0.519533584680963,0.00624316598203709,0.00150672640222975
"WAE","MO.river","Q-P",0.628144811308503,0.00275522513313707,0.00078547571230421
"WAE","MO.river","P-M",0.71037296037296,0.534965034965035,0.455710955710956
"WAE","Pelican","SS",0.645376845376845,0.0104118104118104,0.00699300699300699
"WAE","Pelican","S-Q",0.351889890967829,0.0307853268241192,0.00914628856882188
"WAE","Pelican","Q-P",0.654711701299896,0.0374769713973468,0.0134738698417713
"WAE","Pelican","P-M",0.720901320901321,0.441802641802642,0.382284382284382
"WAE","Pelican","M-T",0.685714285714286,0.685714285714286,0.685714285714286
"WAE","Twin","S-Q",0.730440148087207,0.0939119703825586,0.0625257095845331
"WAE","Twin","Q-P",0.720901320901321,0.382284382284382,0.382284382284382
